Author,Year,Journal,Title,Abstract
Colombani et al.,2017,Journal of Water Supply Research and Technology-Aqua,"impact of climate variability on the salinization of the coastal wetland aquifer system of the po delta, italy","deltaic coastal areas are constituted by a patchwork of brackish lagoons and freshwater bodies; these coastal wetland aquifer systems are fragile ecosystems that usually respond quickly to climate changes. to understand the hydrological processes occurring within the lagoons and the groundwater system of the po river delta (italy), the contribution of both evaporation and anthropogenic factors on groundwater salinization was assessed. a time series (2002 2015) of monthly average climatic data and a temperature salinity dataset were used in three adjacent saline brackish lagoons with the aim to identify the actual evaporation patterns and predict future trends using artificial neural networks (ann). moreover, the use of groundwater and surfacewater equivalent freshwater heads, along with the geological architecture, allowed linking the fluctuation of lagoon salinities with the degree of hydraulic connection between wetland and aquifer system. results show that the less a lagoon is hydraulically connected with the aquifer, the higher is the salinity peak that could be reached at the end of the summer period. ann forecasts highlight that in the near future this behaviour would be the rule rather than the exception. the increase in salinity of surfacewaters could be of serious concern, especially for aquaculture, sensitive to sharp salinity increases."
Colombani et al.,2016,Journal of Hydrology,misleading reconstruction of seawater intrusion via integral depth sampling,"saltwater intrusion in coastal aquifers is an urgent issue for the actual and future groundwater supply and a detailed characterization of groundwater quality with depth is a fundamental prerequisite to correctly distinguish salinization processes. in this study, interpolated cl  maps of the po river delta coastal aquifer (italy), gained with integrated depth sampling (ids) and multi level sampling (mis) techniques, are compared. the data set used to build up the ids and mis interpolated cl  maps come from numerous monitoring campaigns on surface and groundwaters, covering the time frame from 2010 to 2014. the ids interpolated cl  map recalls the phenomenon of actual seawater intrusion, with cl  concentration never exceeding that of seawater and the absence of hypersaline groundwater all over the study area. on the contrary, in the mis interpolated cl  maps the lower portion of the unconfined aquifer presents hypersaline groundwater making it necessary to consider salinization processes other than actual seawater intrusion, like upward flux from a saline aquitard. results demonstrate the obligation of using mis in reconstructing a reliable representation of the distribution of salinity, especially in areas where the density contrast between fresh and saline groundwater is large. implications of the reported field case are not limited to the local situation but have a wider significance, since the ids technique is often employed in saltwater intrusion monitoring even in recent works, with detrimental effect on the sustainable water resource management of coastal aquifers. (c) 2016 elsevier b.v. all rights reserved."
Conallin et al.,2014,Knowledge and Management of Aquatic Ecosystems,daytime habitat selection for juvenile parr brown trout (salmo trutta) in small lowland streams,"physical habitat is important in determining the carrying capacity of juvenile brown trout, and within freshwater management. summer daytime physical habitat selection for the parr lifestage (7 20 cm) juvenile brown trout (salmo trutta) was assessed in 6 small lowland streams. habitat preference was determined for the four variables; water velocity, water depth, substrate and cover, and the preferences for physical habitat selection were expressed in terms of habitat suitability indices (hsi's). the statistical confidence of hsi's was evaluated using power analysis. it was found that a minimum of 22 fish observations was needed to have statistical confidence in the hsis for water depth, and a minimum of 92 fish observations for water velocity during daytime summer conditions. generally parr were utilising the deeper habitats, indicating preference for deeper water. cover was also being selected for at all sites, but selection was inconsistent among sites for the variables substrate and velocity. the results indicate that during daytime summer conditions water depth is a significant variable for parr habitat selection in these small lowland streams, with cover also being important. therefore, daytime refugia may be a critical limiting factor for parr in small lowland streams, and important for stream management actions under the water framework directive."
Conrad et al.,2018,California Agriculture,"diverse stakeholders create collaborative, multilevel basin governance for groundwater sustainability","the sustainable groundwater management act (sgma) is introducing significant changes in the way groundwater is governed for agricultural use. it requires the formation of groundwater sustainability agencies (gsas) to manage groundwater basins for sustainability with the engagement of all users. that presents opportunities for collaboration, as well as challenges, particularly in basins with large numbers of agricultural water users who have longstanding private pumping rights. the gsa formation process has resulted in the creation of multiple gsas in many such basins, particularly in the central valley. in case studies of three basins, we examine agricultural stakeholders' concerns about sgma, and how these are being addressed in collaborative approaches to groundwater basin governance. we find that many water districts and private pumpers share a strong interest in maintaining local autonomy, but they have distinct concerns and different options for forming and participating in gsas. multilevel collaborative governance structures may help meet sgma's requirements for broad stakeholder engagement, our studies suggest, while also addressing concerns about autonomy and including agricultural water users in decision making."
Conte et al.,2016,Acque Sotterranee-Italian Journal of Groundwater,sustainable yield of the colle quartara carbonate aquifer in the southern lepini mountains (central italy),sustainable yield of the colle quartara carbonate aquifer in the southern lepini mountains (central italy)
Conti et al.,2014,Current Opinion in Environmental Sustainability,protected by pluralism? grappling with multiple legal frameworks in groundwater governance,"threats to groundwater sustainability demand governance. however, groundwater governance regimes are developing incongruously across geographic levels. therefore, this research raises the question, how does lack of consensus regarding principles of groundwater law manifest itself as legal pluralism at different geographic levels? current literature is reviewed and norms for groundwater governance are presented at each geographic level along with american, european, asian and african examples. this is a new exploration of legal pluralism and its consequences for groundwater access, allocation and sustainability. it shows that challenges regarding scope, jurisdiction and application of norms manifest themselves in legal plural regimes with differing consequences: groundwater degradation and problems of access and allocation on the one hand and improved, coherent governance structures on the other."
Conti et al.,2016,International Environmental Agreements-Politics Law and Economics,global governance principles for the sustainable development of groundwater resources,"a normative framework for the governance of groundwater is emerging at the global level. however, existing analyses have not comprehensively covered all the governance texts that have a bearing on transboundary groundwater resources or looked at them from the perspective of sustainable groundwater governance. therefore, this paper responds to the questions: what are the global governance texts (including international laws) applicable to groundwater resources; to which forms of the resource do they apply; which principles have been included over time; and what are the implications for sustainable development of groundwater resources now and in the future? the analysis highlights key groundwater concepts, discusses twelve global groundwater governance texts and the thirty principles therein, classifies the principles into ideal typical categories based on the sustainable development concept; and assesses the gaps and conflicts between the principles and texts. the paper has three key findings. first, groundwater governance is rapidly evolving and there are a number of principles available to promote sustainable development. second, however, these collective principles do not adequately address (a) the link with all water resources; (b) the potential impact of climate change on water resources; and (c) the impact of trade on equitable sharing of groundwater and protection of groundwater related ecosystems. third, to the extent that this collection of principles can contribute to sustainable development, they are inconsistently included in the legally binding groundwater governance texts. therefore, much progress is needed to ensure a global normative framework that can guide the sustainable governance of groundwater resources."
Cook et al.,2011,Climate Dynamics,irrigation induced surface cooling in the context of modern and increased greenhouse gas forcing,"there is evidence that expected warming trends from increased greenhouse gas (ghg) forcing have been locally 'masked' by irrigation induced cooling, and it is uncertain how the magnitude of this irrigation masking effect will change in the future. using an irrigation dataset integrated into a global general circulation model, we investigate the equilibrium magnitude of irrigation induced cooling under modern (year 2000) and increased (a1b scenario, year 2050) ghg forcing, using modern irrigation rates in both scenarios. for the modern scenario, the cooling is largest over north america, india, the middle east, and east asia. under increased ghg forcing, this cooling effect largely disappears over north america, remains relatively unchanged over india, and intensifies over parts of china and the middle east. for north america, irrigation significantly increases precipitation under modern ghg forcing; this precipitation enhancement largely disappears under a1b forcing, reducing total latent heat fluxes and the overall irrigation cooling effect. over india, irrigation rates are high enough to keep pace with increased evaporative demand from the increased ghg forcing and the magnitude of the cooling is maintained. over china, ghg forcing reduces precipitation and shifts the region to a drier evaporative regime, leading to a relatively increased impact of additional water from irrigation on the surface energy balance. irrigation enhances precipitation in the middle east under increased ghg forcing, increasing total latent heat fluxes and enhancing the irrigation cooling effect. ultimately, the extent to which irrigation will continue to compensate for the warming from increased ghg forcing will primarily depend on changes in the background evaporative regime, secondary irrigation effects (e.g. clouds, precipitation), and the ability of societies to maintain (or increase) current irrigation rates."
Cook et al.,2015,Journal of Hydrology,quantifying river gain and loss at regional scales,"river aquifer exchange is highly spatially variable. for this reason, methods that estimate river gain or loss over small scales cannot be easily extrapolated to provide flux estimates over the tens to hundreds of kilometres of river length required for regional water management. flux estimates at large scales can be provided by analysis of head gradients, differential flow gauging, river chemistry and groundwater chemistry. hydraulic gradients allow estimation of exchange fluxes over scales of hundreds of metres or more, if piezometers located at similar distances from the river are available for measurement of aquifer heads. however, the difficulty of measuring hydraulic conductivity at this scale, and the need for piezometers at regular intervals along the river, mean that this method is likely to be inaccurate and difficult to apply in many catchments. flow gauging has the potential to estimate fluxes over large scales, although it is difficult to apply in rivers where there is significant surfacewater pumping or where there are large numbers of tributaries. river chemistry can potentially provide estimates of exchange flux over distances of tens to hundreds of kilometres with a spatial resolution of hundreds of metres. groundwater chemistry can provide estimates of loss rates at small to regional scales, depending upon the availability of piezometers for groundwater sampling, and the tracers that are used. each method has its own advantages and limitations, and a combination of methods will usually provide most reliable flux estimates. (c) 2015 elsevier b.v. all rights reserved."
Costelloe et al.,2015,Journal of Hydrology,"determining vertical leakage from the great artesian basin, australia, through up scaling field estimates of phreatic evapotranspiration","understanding the waterbalance of large groundwater systems is fundamental for the sustainable management of the resource. the vertical leakage (i.e. discharge to upper aquifers or the unconfined watertable) component of the great artesian basin (gab) is an example of a poorly constrained but large component of the waterbalance of australia's largest groundwater resource. field estimates of phreatic evapotranspiration (et) were made at discharge zones along the southwestern margin of the gab using eddy covariance station and micro lysimeter measurements, and inversion of chloride/isotope soil profile measurements. the field estimates were assigned to three major landforms associated with areas of increasingly higher evaporative discharge and progressively decreasing depths to the watertable. these landforms were mapped using remote sensing and digital elevation data, with characteristically higher soil moisture, salt precipitation, and lower surface temperature compared to areas distal to discharge zones. based on the field measurements, broad ranges of phreatic et (0.5 10, 10 100 and 100 300 mm y( 1)) were assigned to the major land types. the higher phreatic et discharge zones mapped by supervised classification of satellite data are 8 28% of the total regional vertical leakage component estimated by numerical modelling of the gab. in comparison, the higher discharge zones estimated by landform mapping are 73 251% of the total vertical leakage component estimated by modelling. the mapped distribution of the high discharge areas has important implications for modelling of the gab. in the western sub basin, most of the estimated recharge can be accounted for by phreatic et in the high discharge zones located around the basin margins, implying that vertical leakage rates distal to the margins are very low and that discharge may exceed current recharge. in contrast, the results for the eastern sub basin suggest that vertical leakage rates around the south australian portion of the basin margin are low and that more of the vertical leakage component in the eastern sub basin is occurring distal to the basin margins. consequently, the pathways for vertical leakage in the eastern sub basin are likely to be more complex than for the western sub basin. (c) 2015 elsevier b.v. all rights reserved."
Cox et al.,2018,Applied Geochemistry,soil quality changes due to flood irrigation in agricultural fields along the rio grande in western texas,"growing populations demand more food, putting more pressure on soil productivity and sustainability around the world. in western texas along the rio grande valley, the low natural rainfall requires frequent irrigations for sustaining agriculture. to investigate the impacts of irrigation on soil quality, we collected and modelled geochemical data (major elements and nutrients) on irrigation water, soil pore water, drainage water, and soil samples, and monitored soil moisture, temperature, and electrical conductivity with sensors from two pecan, one cotton, and one alfalfa fields in western texas. this study showed that flood irrigation with both surface (rio grande river) and groundwaters significantly increased the root zone salinity, soil sodicity, and nutrient leaching from soils to the underlying aquifers and rio grande river from agricultural fields of the arid southwest. the water used for irrigation was high in total dissolved solids (> 500 ppm generally), dominated by na+, cl , ca2+ and so42 . after flood irrigation, infiltrating water dissolved salts such as gypsum that have accumulated in the soils due to previous irrigations, or/and mixed existing concentrated soil waters, and approached saturation with respect to these evaporite minerals. soil water was supersaturated with respect to carbonates as pedogenic calcite precipitated out and reached concentrations of similar to 10 wt% of total soil mass. this suggested that pedogenic carbonate is an important carbon reservoir and precipitation kinetics and controls of such secondary calcite need further investigation for the irrigated agricultural fields in arid regions of the world. chemistry of agricultural return flow samples collected from drainage ditches was similar to that of irrigation water, suggesting that most of the irrigation water had taken a shallow and short flowpath through the fields to drains. between irrigation events, soil water became more concentrated as water was lost through evapo transpiration that led to precipitation of evaporite salts. as a result, sodicity and salinity of soils, especially clayey soils, frequently exceeded the tolerance levels of major crops grown in the region. here in these fine textured soils, combination of high evapotranspiration rates, intensive irrigation with water of elevated salinity, and limited infiltration stunted crop growth, decreased soil porosity and permeability, led to poor aeration, and accelerated salt buildup via a positive feedback mechanism. during initial irrigation where soils were saturated, soil water also percolated and recharged to underlying aquifers, and thus salts, nutrients, and trace metals from agricultural practices (i.e., application of fertilizers, irrigation, soil amendments, and pesticide) could be mobilized to shallow groundwaters. this implied that chemistry of rio grande river, groundwater, and soil was closely linked. thus the sustainability of agriculture depended on appropriate water, soil and crop management practices."
Cox et al.,2013,Journal of Hydrology,"groundwater visualisation system (gvs): a software framework for integrated display and interrogation of conceptual hydrogeological models, data and time series animation","management of groundwater systems requires realistic conceptual hydrogeological models as a framework for numerical simulation modelling, but also for system understanding and communicating this to stakeholders and the broader community. to help overcome these challenges we developed gvs (groundwater visualisation system), a stand alone desktop software package that uses interactive 3d visualisation and animation techniques. the goal was a user friendly groundwater management tool that could support a range of existing real world and pre processed data, both surface and subsurface, including geology and various types of temporal hydrological information. gvs allows these data to be integrated into a single conceptual hydrogeological model. in addition, 3d geological models produced externally using other software packages, can readily be imported into gvs models, as can outputs of simulations (e.g. piezometric surfaces) produced by software such as modflow or feflow. boreholes can be integrated, showing any down hole data and properties, including screen information, intersected geology, water level data and water chemistry. animation is used to display spatial and temporal changes, with time series data such as rainfall, standing water levels and electrical conductivity, displaying dynamic processes. time and space variations can be presented using a range of contouring and colour mapping techniques, in addition to interactive plots of time series parameters. other types of data, for example, demographics and cultural information, can also be readily incorporated. the gvs software can execute on a standard windows or linux based pc with a minimum of 2 gb ram, and the model output is easy and inexpensive to distribute, by download or via usb/dvd/cd. example models are described here for three groundwater systems in queensland, northeastern australia: two unconfined alluvial groundwater systems with intensive irrigation, the lockyer valley and the upper condamine valley, and the surat basin, a large sedimentary basin of confined artesian aquifers. this latter example required more detail in the hydrostratigraphy, correlation of formations with drill holes and visualisation of simulation piezometric surfaces. both alluvial system gvs models were developed during drought conditions to support government strategies to implement groundwater management. the surat basin model was industry sponsored research, for coal seam gas groundwater management and community information and consultation. the ""virtual"" groundwater systems in these 3d gvs models can be interactively interrogated by standard functions, plus production of 2d cross sections, data selection from the 3d scene, rear end database and plot displays. a unique feature is that gvs allows investigation of time series data across different display modes, both 2d and 3d. gvs has been used successfully as a tool to enhance community/stakeholder understanding and knowledge of groundwater systems and is of value for training and educational purposes. projects completed confirm that gvs provides a powerful support to management and decision making, and as a tool for interpretation of groundwater system hydrological processes. a highly effective visualisation output is the production of short videos (e.g. 2 5 min) based on sequences of camera 'fly throughs' and screen images. further work involves developing support for multi screen displays and touch screen technologies, distributed rendering, gestural interaction systems. to highlight the visualisation and animation capability of the gvs software, links to related multimedia hosted online sites are included in the references. (c) 2013 elsevier b.v. all rights reserved."
Crosbie et al.,2013,Water Resources Research,"potential climate change effects on groundwater recharge in the high plains aquifer, usa","considering that past climate changes have significantly impacted groundwater resources, quantitative predictions of climate change effects on groundwater recharge may be valuable for effective management of future water resources. this study used 16 global climate models (GCM) and three global warming scenarios to investigate changes in groundwater recharge rates for a 2050 climate relative to a 1990 climate in the u.s. high plains region. groundwater recharge was modeled using the soil vegetation atmosphere transfer model waves for a variety of soil and vegetation types representative of the high plains. the median projection under a 2050 climate includes increased recharge in the northern high plains (+8%), a slight decrease in the central high plains ( 3%), and a larger decrease in the southern high plains ( 10%), amplifying the current spatial trend in recharge from north to south. there is considerable uncertainty in both the magnitude and direction of these changes in recharge projections. predicted changes in recharge between dry and wet future climate scenarios encompass both an increase and decrease in recharge rates, with the magnitude of this range greater than 50% of current recharge. on a proportional basis, sensitivity of recharge to changes in rainfall indicates that areas with high current recharge rates are least sensitive to change in rainfall and vice versa. sensitivity analyses indicate an amplification of change in recharge compared to change in rainfall, and this amplification is in the range of 1 6 with an average of 2.5 3.5 depending upon the global warming scenario."
Cruz et al.,2018,Water,groundwater governance in the azores archipelago (portugal): valuing and protecting a strategic resource in small islands,"studies on groundwater governance status at eu national and river basin district levels are rare, hindering lessons learned at each administrative scale to be shared. groundwater is a common pool resource of strategic significance in the azores archipelago (portugal), thus calling for sustainable development. groundwater governance emerged in the last decades as a path to sustainable resources management, and the present paper characterizes the current status of governance in the azores, where management is pursued according to a vertically integrated system. a survey made among 43 specialists showed that despite the instrumental role of groundwater for water supply there is a need to increase awareness on groundwater valuing and protection. the application of benchmark criteria to evaluate the groundwater governance state of art shows that technical capacities are diminishing governance effectiveness due to the lack of quantitative data, and further enforcing of the groundwater legal framework to the specificities of the azores is needed. the empowerment of the government agency being responsible for the groundwater management is also envisaged. the failure to account for the economic dimension of the groundwater governance, the insufficient development of cross sectorial approaches, and the unsuccessful public participation are other weaknesses on the groundwater governance in the azores."
Cuadrado-Quesada et al.,2014,Water International,groundwater governance and spatial planning challenges: examining sustainability and participation on the ground,this article explores the role of participation and the conditions for achieving sustainable groundwater governance and spatial planning by empirically examining cases in australia and costa rica. a comparison of the two indicates that crisis can increase the likelihood of participation; participation can influence the government to develop environmental legislation; self interest and profit motivation can help promote sustainability under certain conditions; and environmental legislation tends to foster sustainability.
Cuadrado-Quesada et al.,2018,Environmental and Planning Law Journal,challenges and opportunities at implementing groundwater governance in australia: case studies from south australia and western australia,"the aim of this article is to critically analyse the governance challenges and opportunities of groundwater in australia, in particular in south australia, and western australia. it investigates these challenges focusing attention on the design and implementation of governance instruments, for example policy and law that include the principles of participation, accountability and sustainable use. in order to identify current challenges and opportunities faced by groundwater governance in australia, first a doctrinal analysis is included, and then empirical work is done through 29 in depth interviews with government and non government stakeholders. the main findings are: despite the past decades of water governance reform, groundwater continues to be neglected; and not all states and territories have fully implemented such reforms. for example, western australia continues to breach the national water initiative. moreover, implementing meaningful participation and accountability procedures in groundwater planning, as well as sustainable groundwater use continue to be an elusive goal."
Currell et al.,2012,Hydrological Processes,"sustainability of groundwater usage in northern china: dependence on palaeowaters and effects on water quality, quantity and ecosystem health","a synthesis of groundwater ages, recharge rates and information on processes affecting groundwater quality in northern china highlights the major challenges faced for sustainable management of the region's groundwater. direct recharge rates range from hundreds of millimetres per year in the north china plain, to tens of millimetres per year in the loess plateau to less than 4?mm/year in the arid northwest. recharge rates and mechanisms to deep semiconfined and confined aquifers are poorly constrained; however, on the basis of available data, these are likely to be mostly negligible. severe groundwater level declines (0.53?m/year) have occurred throughout northern china in the last three to four decades, particularly in deep aquifers. radiocarbon dating, stable isotope and noble gas data show that the most intensively extracted deep groundwater is palaeowater, recharged under different climate and land cover conditions to the present. reservoir construction has reduced surface runoff in mountain front areas that would naturally recharge regional quaternary aquifers in many basins. in combination with intensive irrigation practices, this has resulted in the main recharge source shifting from surface runoff and mountain front recharge to irrigation returns. this has reduced infiltration of fresh recharge at basin margins and rapidly increased nitrate concentrations and overall mineralisation in phreatic groundwater over wide areas (in some cases to >400?mg/l and >10?g/l, respectively). in some basins, there is evidence that poor quality shallow water has leaked into deep layers (>200?m) via preferential flow, mixing with palaeowaters stored in semiconfined aquifers. high concentrations of naturally occurring fluoride and arsenic (locally >8.5 and >4?mg/l, respectively) have recently lead to the abandonment of numerous supply wells in northern china, creating further pressure on stressed water resources. increasing water demand from direct and indirect consumption poses major challenges for water management in northern china, which must consider the full water cycle. copyright (c) 2012 john wiley & sons, ltd."
Currell et al.,2017,Journal of Hydrology,problems with the application of hydrogeological science to regulation of australian mining projects: carmichael mine and doongmabulla springs,"understanding and managing impacts from mining on groundwater dependent ecosystems (gdes) and other groundwater users requires development of defensible science supported by adequate field data. this usually leads to the creation of predictive models and analysis of the likely impacts of mining and their accompanying uncertainties. the identification, monitoring and management of impacts on gdes are often a key component of mine approvals, which need to consider and attempt to minimise the risks that negative impacts may arise. here we examine a case study where approval for a large mining project in australia (carmichael coal mine) was challenged in court on the basis that it may result in more extensive impacts on a gde (doongmabulla springs) of high ecological and cultural significance than predicted by the proponent. we show that throughout the environmental assessment and approval process, significant data gaps and scientific uncertainties remained unresolved. evidence shows that the assumed conceptual hydrogeological model for the springs could be incorrect, and that at least one alternative conceptualisation (that the springs are dependent on a deep fault) is consistent with the available field data. assumptions made about changes to spring flow as a consequence of mine induced drawdown also appear problematic, with significant implications for the spring fed wetlands. despite the large scale of the project, it appears that critical scientific data required to resolve uncertainties and construct robust models of the springs' relationship to the groundwater system were lacking at the time of approval, contributing to uncertainty and conflict. for this reason, we recommend changes to the approval process that would require a higher standard of scientific information to be collected and reviewed, particularly in relation to key environmental assets during the environmental impact assessment process in future projects. (c) 2017 the authors. published by elsevier b.v."
Custodio et al.,2016,Science of the Total Environment,"groundwater intensive use and mining in south eastern peninsular spain: hydrogeological, economic and social aspects","intensive groundwater development is a common circumstance in semiarid and arid areas. often abstraction exceeds recharge, thus continuously depleting reserves. there is groundwater mining when the recovery of aquifer reserves needs more than 50 years. the mase project has been carried out to compile what is known about spain and specifically about the south eastern iberian peninsula and the canary islands. the objective was the synthetic analysis of available data on the hydrological, economic, managerial, social, and ethical aspects of groundwater mining. since the mid 20th century, intensive use of groundwater in south eastern spain allowed extending and securing the areas with traditional surfacewater irrigation of cash crops and their extension to former dry lands, taking advantage of good soils and climate. this fostered a huge economic and social development. intensive agriculture is a main activity, although tourism plays currently an increasing economic role in the coasts. many aquifers are relatively high yielding small carbonate units where the total groundwater level drawdown may currently exceed 300 m. groundwater storage depletion is estimated about 15 km(3). this volume is close to the total contribution of the tagus segura water transfer, but without large investments paid for with public funds. seawater desalination complements urban supply and part of cash crop cultivation. reclaimed urban waste water is used for irrigation. groundwater mining produces benefits but associated to sometimes serious economic, administrative, legal and environmental problems. the use of an exhaustible vital resource raises ethical concerns. it cannot continue under the current legal conditions. a progressive change of water use paradigm is the way out, but this is not in the mind of most water managers and politicians. the positive and negative results observed in south eastern spain may help to analyse other areas under similar hydrogeological conditions in a less advanced stage of water use evolution. (c) 2016 elsevier b.v. all rights reserved."
Custodio et al.,2016,Science of the Total Environment,"groundwater intensive exploitation and mining in gran canaria and tenerife, canary islands, spain: hydrogeological, environmental, economic and social aspects","intensive exploitation and continuous consumption of groundwater reserves (groundwater mining) have been real facts for decades in arid and semiarid areas. a summary of experience in the hydrogeological, economic, social and ethical consequences of groundwater intensive and mining exploitation in gran canaria and tenerife islands, in the canarian archipelago, is presented. groundwater abstraction is less than recharge, but a significant outflow of groundwater to the sea cannot be avoided, especially in tenerife, due to its younger volcanic coastal formations. consequently, the intensive aquifer groundwater development by means of wells and water galleries (tunnels) has produced a groundwater reserve depletion of about 2 km(3). should current groundwater abstraction cease, the recovery time to close to natural conditions is from decades to one century, except in the mid and high elevations of tenerife, where this recovery is not possible as aquifer formations will remain permanently drained by the numerous long water galleries. the socio economic circumstances are complex due to a long standing history of water resources exploitation, successive social changes on each island, and well established groundwater water trading, with complex relationships that affect water governance and the resulting ethical concerns. gran canaria and tenerife are in an advanced groundwater exploitation stage and have a large water demand. they are good examples that allow drawing guidelines to evaluate groundwater development on other small high islands. after presenting the hydrogeological background, the socio economic results are discussed to derive general knowledge to guide on water governance. (c) 2016 elsevier b.v. all rights reserved."
Daher et al.,2011,Journal of Hydrology,karst and artificial recharge: theoretical and practical problems a preliminary approach to artificial recharge assessment,"managed aquifer recharge (mar) is an emerging sustainable technique that has already generated successful results and is expected to solve many water resource problems, especially in semi arid and arid zones. it is of great interest for karst aquifers that currently supply 20 25% of the world's potable water, particularly in mediterranean countries. however, the high heterogeneity in karst aquifers is too complex to be able to locate and describe them simply via field observations. hence, as compared to projects in porous media, mar is still marginal in karst aquifers. accordingly, the present work presents a conceptual methodology for aquifer rechargeability assessment in karst   referred to as arak. the methodology was developed noting that artificial recharge in karst aquifers is considered an improbable challenge to solve since karst conduits may drain off recharge water without any significant storage, or recharge water may not be able to infiltrate. the aim of the arak method is to determine the ability of a given karst aquifer to be artificially recharged and managed, and the best sites for implementing artificial recharge from the surface. arak is based on multi criteria indexation analysis modeled on karst vulnerability assessment methods. arak depends on four independent criteria, i.e. epikarst, rock, infiltration and karst. after dividing the karst domain into grids, these criteria are indexed using geological and topographic maps refined by field observations. arak applies a linear formula that computes the intrinsic rechargeability index based on the indexed map for every criterion, coupled with its attributed weighting rate. this index indicates the aptitude for recharging a given karst aquifer, as determined by studying its probability first on a regional scale for the whole karst aquifer, and then by characterizing the most favorable sites. subsequently, for the selected sites, a technical and economic feasibility factor is applied, weighted by the difficulties that could occur when trying to undertake a recharge operation at a selected site from the surface. each site is finally rated by its rechargeability index   the product of two factors, the intrinsic rechargeability and the feasibility index. arak was applied to the region of damour, lebanon, on the mediterranean coast where uncontrolled exploitation of public and private wells led to its partial salinization by seawater. a mar system in damour region represents an interesting solution to cope with salinization and the insufficiency of the resource. (c) 2011 elsevier b.v. all rights reserved."
Dahlke et al.,2018,California Agriculture,streamflow availability ratings identify surfacewater sources for groundwater recharge in the central valley,"in california's semi arid climate, replenishment of groundwater aquifers relies on precipitation and runoff during the winter season. however, climate projections suggest more frequent droughts and fewer years with above normal precipitation, which may increase demand on groundwater resources and the need to recharge groundwater basins. using historical daily streamflow data, we developed a spatial index and rating system of high magnitude streamflow availability for groundwater recharge, starr, in the central valley. we found that watersheds with excellent and good availability of excess surfacewater are primarily in the sacramento river basin and northern san joaquin valley. starr is available as a web tool and can guide water managers on where and when excess surfacewater is available and, with other web tools, help sustainable groundwater agencies develop plans to balance water demand and aquifer recharge. however, infrastructure is needed to transport the water, and also changes to the current legal restrictions on use of such water."
Darby et al.,2015,Environmental Science-Processes & Impacts,a first look at the influence of anthropogenic climate change on the future delivery of fluvial sediment to the ganges brahmaputra meghna delta,"we employ a climate driven hydrological waterbalance and sediment transport model (hydrotrend) to simulate future climate driven sediment loads flowing into the ganges brahmaputra meghna (gbm) mega delta. the model was parameterised using high quality topographic data and forced with daily temperature and precipitation data obtained from downscaled regional climate model (rcm) simulations for the period 1971 2100. three perturbed rcm model runs were selected to quantify the potential range of future climate conditions associated with the sres a1b scenario. fluvial sediment delivery rates to the gbm delta associated with these climate data sets are projected to increase under the influence of anthropogenic climate change, albeit with the magnitude of the increase varying across the two catchments. of the two study basins, the brahmaputra's fluvial sediment load is predicted to be more sensitive to future climate change. specifically, by the middle part of the 21st century, our model results suggest that sediment loads increase (relative to the 1981 2000 baseline period) over a range of between 16% and 18% (depending on climate model run) for the ganges, but by between 25% and 28% for the brahmaputra. the simulated increase in sediment flux emanating from the two catchments further increases towards the end of the 21st century, reaching between 34% and 37% for the ganges and between 52% and 60% for the brahmaputra by the 2090s. the variability in these changes across the three climate change simulations is small compared to the changes, suggesting they represent a significant increase. the new data obtained in this study offer the first estimate of whether and how anthropogenic climate change may affect the delivery of fluvial sediment to the gbm delta, informing assessments of the future sustainability and resilience of one of the world's most vulnerable mega deltas. specifically, such significant increases in future sediment loads could increase the resilience of the delta to sea level rise by giving greater potential for vertical accretion. however, these increased sediment fluxes may not be realised due to uncertainties in the monsoon related response to climate change or other human induced changes in the catchment: this is a subject for further research."
Darby et al.,2016,Nature,fluvial sediment supply to a mega delta reduced by shifting tropical cyclone activity,"the world's rivers deliver 19 billion tonnes of sediment to the coastal zone annually(1), with a considerable fraction being sequestered in large deltas, home to over 500 million people. most (more than 70 per cent) large deltas are under threat from a combination of rising sea levels, ground surface subsidence and anthropogenic sediment trapping(2,3), and a sustainable supply of fluvial sediment is therefore critical to prevent deltas being ` drowned' by rising relative sea levels(2 4). here we combine suspended sediment load data from the mekong river with hydrological model simulations to isolate the role of tropical cyclones in transmitting suspended sediment to one of the world's great deltas. we demonstrate that spatial variations in the mekong's suspended sediment load are correlated (r = 0.765, p < 0.1) with observed variations in tropical cyclone climatology, and that a substantial portion (32 per cent) of the suspended sediment load reaching the delta is delivered by runoff generated by rainfall associated with tropical cyclones. furthermore, we estimate that the suspended load to the delta has declined by 52.6 +/  10.2 megatonnes over recent years (1981 2005), of which 33.0 +/  7.1 megatonnes is due to a shift in tropical cyclone climatology. consequently, tropical cyclones have a key role in controlling the magnitude of, and variability in, transmission of suspended sediment to the coast. it is likely that anthropogenic sediment trapping in upstream reservoirs is a dominant factor in explaining past(5 7), and anticipating future(8,9), declines in suspended sediment loads reaching the world's major deltas. however, our study shows that changes in tropical cyclone climatology affect trends in fluvial suspended sediment loads and thus are also key to fully assessing the risk posed to vulnerable coastal systems."
