Author,Year,Journal,Title,Abstract,Sustainable,Groundwater,Policy,Modeling,Surfacewater,Ecosystem,HumanActivities,Uncertainty,Participation,Coast
Leduc et al.,2017,Hydrogeology Journal,anthropization of groundwater resources in the mediterranean region: processes and challenges,"a comprehensive overview is provided of processes and challenges related to mediterranean groundwater resources and associated changes in recent decades. while most studies are focused thematically and/or geographically, this paper addresses different stages of groundwater exploitation in the region and their consequences. examples emphasize the complex interactions between the physical and social dimensions of uses and evolution of groundwater. in natural conditions, mediterranean groundwater resources represent a wide range of hydrogeological contexts, recharge conditions and rates of exploitation. they have been actively exploited for millennia but their pseudo natural regimes have been considerably modified in the last 50 years, especially to satisfy agricultural demand (80% of total water consumption in north africa), as well as for tourism and coastal cities. climate variability affects groundwater dynamics but the various forms of anthropization are more important drivers of hydrological change, including changes in landuse and vegetation, hydraulic works, and intense pumpings. these changes affect both the quantity and quality of groundwater at different scales, and modify the nature of hydrogeological processes, their location, timing, and intensity. the frequent cases of drastic overexploitation illustrate the fragility of mediterranean groundwater resources and the limits of present forms of management. there is no easy way to maintain or recover sustainability, which is often threatened by short term interests. to achieve this goal, a significant improvement in hydrogeological knowledge and closer collaboration between the various disciplines of water sciences are indispensable.",1,1,0,0,0,0,1,0,0,1
Gurdak et al.,2017,Journal of Hydrology-Regional Studies,"scale dependence of controls on groundwater vulnerability in the water energy food nexus, california coastal basin aquifer system","study region: the coastal california basin aquifer system (ccb), usa. study focus: understanding the controls on nonpoint source (nps) nitrate (no3 ) contamination in groundwater is motivated by the widespread detection of no3 , implications for human health and aquatic ecosystems, groundwater sustainability, and a growing realization that such understanding across spatial scales promotes management and policy choices that optimize the water energy food (wef) nexus. in the ccb, the conflicts in the wef nexus are apparent because of intensive agricultural practices that have contributed to chronic no3  loading to groundwater. we evaluate the scale dependent relations among source, transport, and attenuation (sta) factors that control nps no3  contamination in recently recharged ccb groundwater. logistic regression models are presented for sub regional and regional model domains. new hydrological insights for the region: dissolved oxygen (do) (attenuation) in groundwater is often the most significant sta factor in all model domains, indicating that do is an important, scale invariant factor controlling nps no3  contamination. farm fertilizer (source) is also a significant scale invariant factor, while many of the transport factors are scale dependent factors. we present vulnerability maps that illustrate the spatial patterns of predicted probability of detected elevated no3 . findings here improve knowledge about the scale dependence of sta factors, which help decision makers develop best management strategies and policies that advances groundwater sustainability and optimizes the wef nexus. (c) 2016 the authors. published by elsevier b.v.",1,1,1,1,0,1,0,0,0,1
Alfarrah et al.,2017,Groundwater,"sinkholes due to groundwater withdrawal in tazerbo wellfield, se libya","the desert of eastern libya forms one of the most arid regions of the sahara. the great man made river project (gmrp) was established. it transports millions of cubic meters of water a day from desert wellfields to the coastal cities, where over 80% of the population lives. the tazerbo wellfield is one of the wellfields designed within the gmrp, delivering water to the eastern coast of libya through an underground pipe network. tazerbo wellfield consists of 108 production wells; each well was designed to pump 100 l/s. the planned total groundwater withdrawal from all wells is 1 million m(3)/d. the deep sandstone aquifer (nubian sandstone) is covered by a thick mudstone siltstone aquitard and is being heavily pumped. the aquifer and fine grained sediments of the aquitard may be compacted resulting in land subsidence as a result of high exploitation. local sinkholes have developed in the area of tazerbo since the start of the pumping from the wellfield in 2004. these sinkholes have been caused mainly by lowering of the piezometric heads due to the withdrawal of groundwater. in this study, a hydrogeological investigation is presented about the effect of large groundwater pumping from the nubian sandstone aquifer in tazerbo wellfield, se libya, based on physical parameters for 108 production wells and 23 observation wells.",1,1,0,0,0,0,0,0,0,1
Re et al.,2017,Environmental Science and Pollution Research,tackling the salinity pollution nexus in coastal aquifers from arid regions using nitrate and boron isotopes,"salinization and nitrate pollution are generally ascertained as the main issues affecting coastal aquifers worldwide. in arid zones, where agricultural activities also result in soil salinization, both phenomena tend to co exist and synergically contribute to alter groundwater quality, with severe negative impacts on human populations and natural ecosystems' wellbeing. it becomes therefore necessary to understand if and to what extent integrated hydrogeochemical tools can help in distinguishing among possible different salinization and nitrate contamination origins, in order to provide adequate science based support to local development and environmental protection. the alluvial plain of bou areg (north morocco) extends over about 190 km(2) and is separated from the mediterranean sea by the coastal lagoon of nador. its surface is covered for more than 60% by agricultural activities, although the region has been recently concerned by urban population increase and tourismexpansion. all these activities mainly rely on groundwater exploitation and at the same time are the main causes of both aquifer and lagoon water quality degradation. for this reason, it was chosen as a case study representative of the typical situation of coastal aquifers in arid zones worldwide, where a clear identification of salinization and pollution sources is fundamental for the implementation of locally oriented remedies and long term management strategies. results of a hydrogeochemical investigation performed between 2009 and 2011 show that the bou areg aquifer presents high salinity (often exceeding 100 mg/l in tds) due to both natural and anthropogenic processes. the area is also impacted by nitrate contamination, with concentrations generally exceeding the who statutory limits for drinking water (50 mg/l) and reaching up to about 300 mg/l, in both the rural and urban/peri urban areas. the isotopic composition of dissolved nitrates (delta n 15(no3) and delta o 18(no)) was used to constrain pollution drivers. the results indicate two main origins for human induced pollution: (i) manure and septic effluents, especially in urban areas, and (ii) synthetic fertilizers in agricultural areas. in the latter, delta n 15 enriched values highlight a mixture of those sources, possibly related to unbalanced fertilization and agricultural return flow. boron isotopes (delta b 11) were hence studied to further distinguish the nitrate origin in the presence of multiple sources and mixing processes. the results indicate that in the study area, the high geochemical background for b and cl, associated to the complex waterrock interaction processes, limit the application of the coupled delta b 11 and delta n 15 isotopic systematics to the detection of sources of groundwater pollution. in fact, despite the exceedingly high nitrate contents, the depleted delta b 11 values that characterize synthetic fertilizers and sewage leakages could not be detected. therefore, even if in saline groundwater the anthropogenic contribution has a negligible effect in terms of salinity input, with both sewage and irrigation water not very charged, the associated nitrate content fuels up water rock interaction processes, eventually leading to a mineralization increase.",1,1,0,0,0,1,1,0,0,1
Yang et al.,2017,Applied Water Science,a comparative study of shallow groundwater level simulation with three time series models in a coastal aquifer of south china,"accurate and reliable groundwater level forecasting models can help ensure the sustainable use of a watershed's aquifers for urban and rural water supply. in this paper, three time series analysis methods, holt winters (hw), integrated time series (its), and seasonal autoregressive integrated moving average (sarima), are explored to simulate the groundwater level in a coastal aquifer, china. the monthly groundwatertable depth data collected in a long time series from 2000 to 2011 are simulated and compared with those three time series models. the error criteria are estimated using coefficient of determination (r 2), nash sutcliffe model efficiency coefficient (e), and root mean squared error. the results indicate that three models are all accurate in reproducing the historical time series of groundwater levels. the comparisons of three models show that hw model is more accurate in predicting the groundwater levels than sarima and its models. it is recommended that additional studies explore this proposed method, which can be used in turn to facilitate the development and implementation of more effective and sustainable groundwater management strategies.",1,1,0,1,0,0,0,0,0,1
Kumar et al.,2017,Journal of the Geological Society of India,hydrogeological characterization of aquifer in palla flood plain of delhi using integrated approach,"the yamuna flood plains spread across the northern part of indian subcontinent is home to millions of people. the ever growing population in these plains make it difficult to sustain the demand of freshwater resources. however, the productive aquifers of flood plains could provide solution for these issues. in this context, it is necessary to understand the aquifer characteristics. thus, the paper attempts to characterize the aquifer in palla area of the flood plain using integrated approach. besides, grain size analysis and site litholog study, the nature of aquifer material was also ascertained from bulk mineralogy of the sediments using x ray diffraction. the aquifer parameters were estimated with help of long duration pumping test data. moreover, the effect of pumping on salinity variation and hydrochemical facies evolution was also examined. the sand dominant, unconfined aquifer was estimated to have horizontal hydraulic conductivity in the range of 25 m/day and vertical hydraulic conductivity of 6 7 m /day. while the specific yield of the aquifer was estimated in the range of 0.07 0.08. it is observed that under conducive active flood plain environment, the given sand mineralogy at the site does not allow salinity increase in groundwater even after more than a decade of groundwater pumping. in fact, over years, hydrochemical facies have evolved towards bicarbonate type. these things put together make the active flood plain aquifer a sustainable groundwater resource.",1,1,0,0,0,0,0,0,0,1
He et al.,2017,Water,hydrus simulation of sustainable brackish water irrigation in a winter wheat summer maize rotation system in the north china plain,"freshwater resources in the north china plain (ncp) are near depletion due to the unceasing overexploitation of deep groundwater, by far the most significant source of freshwater in the region. to deal with the deepening freshwater crisis, brackish water (rich but largely unused water in agriculture) is increasingly being used in irrigation in the region. however, inappropriate irrigation with brackish water could lead to soil salinization and cropland degradation. to evaluate such negative impacts, the hydrus 1d model was used to simulate soil salt transport and accumulation under 15 years of irrigation with brackish water. the irrigation scenarios included brackish water irrigation during the wintering and jointing stages of winter wheat and then freshwater irrigation just before the sowing of summer maize. freshwater irrigation was done to leach out soil salts, which is particularly vital in dry years. for the littoral region of the plain, hydrus id was used to simulate the irrigated cropping system stated above for a total period of 15 years. the results showed that it was feasible to use brackish water twice in one year, provided freshwater irrigation was performed before sowing summer maize. freshwater irrigation, in conjunction with precipitation, leached out soil salts from the 100 cm root zone depth. the maximum salt accumulation was in the 160 220 cm soil layer, which ensured that root zone soil was free of restrictive salinity for crop growth. precipitation was a critical determinant of the rate and depth leaching of soil salt. heavy rainfall (> 100 mm) caused significant leaching of soluble salts in the 0 200 cm soil profile. salt concentration under brackish water irrigation had no significant effect on the variations in the trend of soil salt transport in the soil profile. the variations of soil salinity were mainly affected by hydrological year type, for which the buried depth of soil salt was higher in wet years than in dry years. the study suggested that 15 years of irrigation with brackish water is a reliable and feasible mode of crop production in coastal regions with a thick soil column above the watertable. the scheme proposed in this study allowed the use of brackish water in irrigation without undue salinization of the crop soil layer, an intuitive way of resolving the deepening water crisis in the ncp study area and beyond.",1,1,0,1,0,0,0,0,0,1
Zhou et al.,2017,Geofluids,"hydrochemistry and isotope hydrology for groundwater sustainability of the coastal multilayered aquifer system (zhanjiang, china)","groundwater sustainability has become a critical issue for zhanjiang (china) because of serious groundwater level drawdown induced by overexploitation of its coastal multilayered aquifer system. it is necessary to understand the origins, material sources, hydrochemical processes, and dynamics of the coastal groundwater in zhanjiang to support its sustainable management. to this end, an integrated analysis of hydrochemical and isotopic data of 95 groundwater samples was conducted. hydrochemical analysis shows that coastal groundwater is fresh; however, relatively high levels of cl , mg2+, and total dissolved solid (tds) imply slight seawater mixing with coastal unconfined groundwater. stable isotopes (delta(18) o and delta(2) h) values reveal the recharge sources of groundwater in the multilayered aquifer system. the unconfined groundwater originates from local modern precipitation; the confined groundwater in mainland originates from modern precipitation in northwestern mountain area, and the confined groundwater in donghai and leizhou is sourced from rainfall recharge during an older period with a colder climate. ionic relations demonstrate that silicate weathering, carbonate dissolutions, and cation exchange are the primary processes controlling the groundwater chemical composition. declining trends of groundwater level and increasing trends of tds of the confined groundwater in islands reveal the landward extending tendency of the freshwater seawater mixing zone.",1,1,0,0,0,0,0,0,0,1
Kamali et al.,2017,Journal of Hydroinformatics,multi objective optimization for sustainable groundwater management by developing of coupled quantity quality simulation optimization model,"this study addresses the issue of optimal management of aquifers using a mathematical simulation optimization model which relies on the stability of water quality and quantity, considering salinity. in this research first we developed a hydrological model (swat) to estimate recharge rates and its spatiotemporal distribution. then, groundwater simulation of the basin was simulated and calibrated using modflow 2000 and water quality was simulated and calibrated using mt3dms. afterwards, a multi objective optimization model (mopso) and embed simulation models as tools to assess the objective function was carried out in order to produce a simulation optimization model. finally, a sustainability index to assess pareto front's answers and three management scenarios (continuing previous operation, 30% increasing and reduction in previous operation) was developed. the results show that the majority of pareto optimal answers have more sustainability index than a 30% reduction of operation with the best answer of 0.059. relatively, the sustainability index of 30% reduction of operation is 0.05.",1,1,0,1,0,0,0,0,0,1
Hugman et al.,2017,Hydrogeology Journal,"numerical modelling assessment of climate change impacts and mitigation measures on the querenca silves coastal aquifer (algarve, portugal)","predicted changes in climate will lead to seawater intrusion in the queren double dagger a silves (qs) coastal aquifer (south portugal) during the coming century if the current water resource management strategy is maintained. as for much of the mediterranean, average rainfall is predicted to decrease along with increasing seasonal and inter annual variability and there is a need to understand how these changes will affect the sustainable use of groundwater resources. a density coupled flow and transport model of the qs was used to simulate an ensemble of climate, water use and adaptation scenarios from 2010 to 2099 taking into account intra  and inter annual variability in recharge and groundwater use. by considering several climate models, bias correction and recharge calculation methods, a degree of uncertainty was included. changes in rainfall regimes will have an immediate effect on groundwater discharge; however, the effect on saltwater intrusion is attenuated by the freshwater saltwater interfaces' comparatively slow rate of movement. comparing the effects of adaptation measures demonstrates that the extent of intrusion in the qs is controlled by the long term waterbudget, as the effectiveness of both demand and supply oriented measures is proportional to the change in waterbudget, and that to maintain the current position, average groundwater discharge should be in the order of 50 x 10(6) m(3) yr( 1).",1,1,0,1,0,0,0,1,0,1
Zhou et al.,2017,Journal of Earth System Science,"study on the groundwater sustainable problem by numerical simulation in a multi layered coastal aquifer system of zhanjiang, china","study on the groundwater sustainable problem by numerical simulation in a multi layered coastal aquifer system of zhanjiang, china",1,1,0,1,0,0,0,0,0,1
Epting et al.,2017,Journal of Hydrology,development of concepts for the management of thermal resources in urban areas   assessment of transferability from the basel (switzerland) and zaragoza (spain) case studies,"the shallow subsurface in urban areas is increasingly used by shallow geothermal energy systems as a renewable energy resource and as a cheap cooling medium, e.g. for building air conditioning. in combination with further anthropogenic activities, this results in altered thermal regimes in the subsurface and the so called subsurface urban heat island effect. successful thermal management of urban groundwater resources requires understanding the relative contributions of the different thermal parameters and boundarycondition that result in the ""present thermal state"" of individual urban groundwater bodies. to evaluate the ""present thermal state"" of urban groundwater bodies, good quality data are required to characterize the hydraulic and thermal aquifer parameters. this process also involved adequate monitoring systems which provide consistent subsurface temperature measurements and are the basis for parameterizing numerical heat transport models. this study is based on previous work already published for two urban groundwater bodies in basel (ch) and zaragoza (es), where comprehensive monitoring networks (hydraulics and temperature) as well as calibrated high resolution numerical flow  and heat transport models have been analyzed. the ""present thermal state"" and how it developed according to the different hydraulic and thermal boundarycondition is compared to a ""potential natural state"" in order to assess the anthropogenic thermal changes that have already occurred in the urban groundwater bodies we investigated. this comparison allows us to describe the various processes concerning groundwater flow and thermal regimes for the different urban settings. furthermore, the results facilitate defining goals for specific aquifer regions, including future aquifer use and urbanization, as well as evaluating the thermal use potential for these regions. as one example for a more sustainable thermal use of subsurfacewater resources, we introduce the thermal management concept of the ""relaxation factor"", which is a first approach to overcome the present policy of ""first come, first served"". remediation measures to regenerate overheated urban aquifers are also introduced. the transferability of the applied methods to other urban areas is discussed. it is shown that an appropriate selection of locations for monitoring hydraulic and thermal boundarycondition make it possible to implement representative interpretations of groundwater flow and thermal regimes as well as to set up high resolution numerical flow  and heat transport models. those models are the basis for the sustainable management of thermal resources. (c) 2017 elsevier b.v. all rights reserved.",1,1,1,1,1,0,0,0,0,1
Zyoud et al.,2017,Applied Water Science,estimates of arab world research productivity associated with groundwater: a bibliometric analysis,"the sustainable management of groundwater resources is a pressing necessity for most countries. as most of the arab world is facing severe water scarcity, threats of depletion of non renewable groundwater, and problems of pollution and salt water intrusions into groundwater aquifers, much effort should be devoted to eliminate these dangers in advance. this work was devoted to bring up insights into arab world research activities in groundwater, which is a crucial task to identify their status and can help in shaping up and improving future research activities. a bibliometric analysis has been conducted to track these activities. the study identified 1417 documents which represent 3.3% of global research productivity. egypt was the most productive country (313; 22.1%), followed by saudi arabia (254; 17.9%). total citations were 9720 with an average of 6.9. the h index of the retrieved documents was 39, and the highest one was 22 for egypt. the most common subject category was environmental science, and the most productive journal was arabian journal of geosciences (99; 7.0%). in international research collaboration, france was the most collaborated country with arab world (125; 8.8%), followed by the united states (113; 8.0%). the most productive institution was king abdul aziz university, saudi arabia (66; 4.7%). the outcomes shows remarkable improvements in groundwater research activities originated from the arab world. even though, constructive efforts should be pursued vigorously to bridge the gaps in groundwater based research. moreover, promotion of better evaluation tools to assess the risks arising from the mismanagement of groundwater resources is required urgently.",1,1,0,0,0,0,0,0,0,1
Xue et al.,2017,Irrigation and Drainage,conjunctive use of saline and non saline water in an irrigation district of the yellow river basin,"in the hetao irrigation district (hid), reduction of the diverted yellow river water for agriculture makes partial replacement of fresh water for irrigation by shallow saline groundwater a possible way to alleviate the shortage of freshwater resources. in this study, a swap wofost agro hydrological model was calibrated and validated, and then applied in a distributed manner to estimate crop yield, water productivity (wp) of spring wheat, spring maize, and sunflower, and soil salinity with conjunctive use of saline and non saline irrigation water during 2000 2010, and a crop zoning was proposed based on simulated crop wp in the hid. compared with non saline water irrigation, the annual average yield of spring wheat, spring maize, and sunflower was changed by  0.2, 5.3, and 8.2%, and the wp was changed by  5.5, 2.6, and 7.6%, respectively, with conjunctive use of saline and non saline irrigation water according to the proposed crop zoning. soil salinity in the rooting zone did not increase with time. the salts remaining in the subsoil were very little, which did not obviously affect the groundwater salinity. our results demonstrated that partial substitution of fresh water by shallow saline groundwater for irrigation is feasible in the hid. copyright (c) 2017 john wiley & sons, ltd.",1,1,0,1,0,0,0,0,0,1
Argamasilla et al.,2017,Science of the Total Environment,factors controlling groundwater salinization and hydrogeochemical processes in coastal aquifers from southern spain,"in detrital coastal aquifers, seawater and surfacewater may interact with groundwater in multiple ways. understanding the interference of water fluxes in this type of environment is essential to effectively manage the groundwater resources in water stressed regions, such as the mediterranean coastal fringe. in this research, the characterization of the main hydrogeochemical processes and the interaction between surfacewater and groundwater in the marbella estepona coastal aquifers (southern spain) have been carried out by means of the combined use of different hydrogeochemical indicators along with isotope data. the results show that the diversity of source lithologies (peridotite, carbonate and/or metapelitic) substantially conditions the groundwater geochemistry. the analysis of ionic deltas made it possible a preliminary screening of the geochemical reactions that occur in the marbella estepona aquifers, while the discriminant analysis allowed for a consistent classification of sampled groundwater types. the dissolution of calcite and dolomite determines the chemical composition of the groundwater from the eastern sector that are more conditioned by the rainwater infiltration. the dissolution of magnesium bearing minerals (predominantly forming peridotite rocks) is observed in grodndwater samples from the western and central sectors, whose chemical composition showed a greater influence of surfacewater. the spatial analysis of rc1( )/br  in groundwater has permitted to corroborate that saline intrusion is negligible, hardly affecting to its original water quality. the irregularly distributed recharge by precipitation (seasonal effect) and the atmospheric circulation of cloud fronts (coastal/continental effect) explains why most of groundwater sampled is isotopically impoverished with respect to the rainfall signature. the isotope approach also suggests the hydraulic relationship between surfacewater and groundwater in the study site. a deeper knowledge of spatial hydrogeochemical variations in coastal groundwater and the influence of water sources over them are crucial for a sustainable groundwater management and global change adaptation in equivalent mediterranean water  stressed regions. (c) 2016 elsevier b.v. all rights reserved.",1,1,0,1,1,0,0,0,0,1
Masciopinto et al.,2017,Water Resources Management,a suitable tool for sustainable groundwater management,"artificial recharge is used to increase the availability of groundwater storage and reduce saltwater intrusion in coastal aquifers, where pumping and droughts have severely impaired groundwater quality. the implementation of optimal recharge methods requires knowledge of physical, chemical, and biological phenomena involving water and wastewater filtration in the subsoil, together with engineering aspects related to plant design and maintenance operations. this study uses a novel decision support system (dss), which includes soil aquifer treatment (sat) evaluation, to design an artificial recharge plant. the dss helps users make strategic decisions on selecting the most appropriate recharge methods and water treatment technologies at specific sites. this will enable the recovery of safe water using managed aquifer recharge (mar) practices, and result in reduced recharge costs. the dss was built using an artificial intelligence technique and knowledge based technology, related to both quantitative and qualitative aspects of water supply for artificial recharge. the dss software was implemented using rules based on the cumulative experience of wastewater treatment plant engineers and groundwater modeling. appropriate model flow simulations were performed in porous and fractured coastal aquifers to evaluate the suitability of this technique for enhancing the integrated water resources management approach. results obtained from the aquastress integrated project and drinkadria ipa cbc suggest the most effective strategies for wastewater treatments prior to recharge at specific sites.",1,1,0,1,0,0,0,0,0,1
Solangi et al.,2017,Mehran University Research Journal of Engineering and Technology,"groundwater quality mapping using geographic information system: a case study of district thatta, sindh","access to safe and affordable drinking water for all is an important goal of sdgs (sustainable development goals). degradation of water quality of coastal aquifers is a major concern throughout the world including the indus river delta. looking at the present changing climate scenario, the study was conducted to assess and map the spatial variation in the groundwater quality of district thatta using gis (geographic information system). the groundwater samples from hundred (100) randomly selected hand pumps of the district were collected such that all union councils of the district were sampled. the water samples were analyzed for different physicochemical parameters, i.e. taste, color, odor, ph, turbidity, ec (electrical conductivity), calcium, magnesium, total hardness, chloride, total dissolved solids, and arsenic using standard laboratory techniques. the results of water analysis revealed that 85% of the groundwater samples had tds (total dissolved solids) concentration beyond the permissible limit described by who (world health organization). whereas, all the groundwater samples had chloride concentration beyond permissible limit of 250 mg/l. analysis for arsenic revealed that only 20% of groundwater samples had a concentration higher than the safe limit of 10 ppb. the study indicated that in most of the areas, the groundwater quality was not as per drinking standards prescribed by who, hence was not suitable for drinking purpose. the gis maps of groundwater quality parameters were prepared using spatial interpolation kriging tool. these maps provide the visual analysis and interpretation of spatial variability of different groundwater quality parameters, hence are supportive in monitoring and managing the vulnerability of groundwater contamination.",1,1,0,0,0,0,0,0,0,1
Srisuk et al.,2017,Journal of Groundwater Science and Engineering,climate change and groundwater resources in thailand,"the average temperature of thailand is projected to increase by 2 3 degrees c, and the annual rainfall is projected to increase by 25% and up to 50% in certain areas. the climate change in future is expected to provide changes in hydrological cycle and therefore impacts the groundwater resources too. in this study, we analyzed the general climate change trends and reviewed the groundwater conditions of thailand. the climate changes, hydrologic variability and the impact of climate change on groundwater sustainability are also discussed based on a national groundwater monitoring program. currently, there are 864 groundwater monitoring stations and 1 524 monitoring wells installed in thailand. moreover, the impact of climate change on groundwater dependent systems and sectors is also discussed according to certain case studies, such as saline water intrusion in coastal and inland areas. managing aquifer recharge and other projects are examples of groundwater adaptation project for the future.",1,1,0,0,0,0,0,0,0,1
Werner et al.,2017,Journal of Hydrology,hydrogeology and management of freshwater lenses on atoll islands: review of current knowledge and research needs,"on atoll islands, fresh groundwater occurs as a buoyant lens shaped body surrounded by saltwater derived from the sea, forming the main freshwater source for many island communities. a review of the state of knowledge of atoll island groundwater is overdue given their susceptibility to adverse impacts, and the task to address water access and sanitation issues within the united nations' sustainable development goals framework before the year 2030. in this article, we review available literature to summarise the key processes, investigation techniques and management approaches of atoll island groundwater systems. over fifty years of investigation has led to important advancements in the understanding of atoll hydrogeology, but a paucity of hydrogeological data persists on all but a small number of atoll islands. we find that the combined effects of buoyancy forces, complex geology, tides, episodic ocean events, strong climatic variability and human impacts create highly dynamic fresh groundwater lenses. methods used to quantify freshwater availability range from simple empirical relationships to three dimensional density dependent models. generic atoll island numerical models have proven popular in trying to unravel the individual factors controlling fresh groundwater lens behaviour. major challenges face the inhabitants and custodians of atoll island aquifers, with rising anthropogenic stresses compounded by the threats of climate variability and change, sea level rise, and some atolls already extracting freshwater at or above sustainability limits. we find that the study of atoll groundwater systems remains a critical area for further research effort to address persistent knowledge gaps, which lead to high uncertainties in water security issues for both island residents and surrounding environs. (c) 2017 elsevier b.v. all rights reserved.",1,1,0,1,0,0,0,1,0,1
Supriyadi et al.,2017,International Journal of Geomate,"geophysical and hydrochemical approach for seawater intrusion in north semarang, central java, indonesia","groundwater overexploitation leads to seawater intrusion in coastal area and influence the quality of the groundwater aquifers. geophysical and hydrochemical investigations were carried out to determine subsurface geologic formation and assessing seawater intrusion in tanah mas residential area of north semarang, indonesia. the seawater intrusion was investigated by 2d geoelectrical resistivity imaging and generated using multi electrode system with wenner array configuration. chemical analyses of groundwater samples of indicated the range of salt concentrations meanwhile correlation of geophysical data in the study area allows for the predictions of seawater contaminated zones and their influence on in situ salinity in the study area. the 12 geo electrical sections were obtain up to penetration depth of about 27 m for a total length of 150 m. the results of groundwater chemical testing indicated that there are three groundwater samples with high levels of chloride ions. the three groundwater samples with high levels of chloride ions are from wells f (434455, 9231239), j (434610, 9230204) and m (434117, 9231156). seawater intrusion in the study area were also detected and confirmed by the resistivity measurement. it can be concluded that the seawater intrusion has reached the north, east and southern parts of the tanah mas residential area.",1,1,0,0,0,0,0,0,0,1
Mencio et al.,2017,Journal of Hydrology,groundwater dependence of coastal lagoons: the case of la pletera salt marshes (ne catalonia),"coastal wetlands are among the most productive ecosystems of the world, playing an important role in coastal defense and wildlife conservation. these ecosystems, however, are usually affected by human activities, which may cause a loss and degradation of their ecological status, a decline of their biodiversity, an alteration of their ecological functioning, and a limitation of their ecosystem services. la pletera salt marshes (ne spain) are located in a region mainly dominated by agriculture and tourism activities. part of these wetlands and lagoons has been affected by an incomplete construction of an urban development and in this moment is the focus of a life(+) project, whose aim is to restore this protected area. several studies have analyzed the role of hydrological regime in nutrients, phytoplankton and zooplankton in this area, however, the role of groundwater was never considered as a relevant factor in the lagoon dynamics, and its influence is still unknown. in this study, the hydrogeological dynamics in la pletera salt marshes has been analyzed, as a basis to set sustainable management guidelines for this area. in order to determine their dependence on groundwater resources, monthly hydrochemical (with major ions and nutrients) and isotopic (delta o 18(h2o) and delta d) campaigns have been conducted, from november 2014 to october 2015. in particular, groundwater from six wells, surfacewater from two nearby streams and three permanent lagoons, and sea water was considered in these surveys. taking into account the meteorological data and the water levels in the lagoons, the general lake model has been conducted to determine, not only evaporation and rainfall occurring in the lagoons, but also the total inflows and outflows. in addition, the gonfiantini isotopic model, together with equilibrium chemical speciation/mass transfer models, has been used to analyze the evaporation and the physicochemical processes affecting the lagoons. results show that during the dry season groundwater inputs may account for 15 80% of the water in la pletera lagoons. besides, water salinity depends on two main processes: 1) mixing of fresh and sea water occurring within the lagoons or in the aquifer; and 2) evaporation. according to the obtained results, the goal of preserving la pletera lagoons and their salinity conditions implies maintaining groundwater fluxes towards the ocean, and also the hydraulic connectivity of these lagoons with the aquifer. (c) 2017 the authors. published by elsevier b.v.",1,1,0,1,1,1,1,0,0,1
Lorenzo-Lacruz et al.,2017,Journal of Hydrology,groundwater level responses to precipitation variability in mediterranean insular aquifers,"groundwater is one of the largest and most important sources of fresh water on many regions under mediterranean climate conditions, which are exposed to large precipitation variability that includes frequent meteorological drought episodes, and present high evapotranspiration rates and water demand during the dry season. the dependence on groundwater increases in those areas with predominant permeable lithologies, contributing to aquifer recharge and the abundance of ephemeral streams. the increasing pressure of tourism on water resources in many mediterranean coastal areas, and uncertainty related to future precipitation and water availability, make it urgent to understand the spatio temporal response of groundwater bodies to precipitation variability, if sustainable use of the resource is to be achieved. we present an assessment of the response of aquifers to precipitation variability based on correlations between the standardized precipitation index (spi) at various time scales and the standardized groundwater index (sgi) across a mediterranean island. we detected three main responses of aquifers to accumulated precipitation anomalies: (i) at short time scales of the spi (<6 months); (ii) at medium time scales (6 24 months); and at long time scales (>24 months). the differing responses were mainly explained by differences in lithology and the percentage of highly permeable rock strata in the aquifer recharge areas. we also identified differences in the months and seasons when aquifer storages are more dependent on precipitation; these were related to climate seasonality and the degree of aquifer exploitation or undergroundwater extraction. the recharge of some aquifers, especially in mountainous areas, is related to precipitation variability within a limited spatial extent, whereas for aquifers located in the plains, precipitation variability influence much larger areas; the topography and geological structure of the island explain these differences. results indicate large spatial variability in the response of aquifers to precipitation in a very small area, highlighting the importance of having high spatial resolution hydro climatic databases available to enable full understanding of the effects of climate variability on scarce water resources. (c) 2017 elsevier b.v. all rights reserved.",1,1,0,0,0,0,0,1,0,1
Pandian et al.,2016,Hydrology Research,finite element modelling of a heavily exploited coastal aquifer for assessing the response of groundwater level to the changes in pumping and rainfall variation due to climate change,"coastal aquifers are always under threat of seawater intrusion due to over extraction of groundwater. the objective here is to assess aquifer response to variation in pumping and rainfall recharge due to projected climate change by groundwater modelling in a heavily exploited aquifer. finite element groundwater flow modelling was carried out from march 1988 to december 2030 using feflow software. steady state calibration was done to match observed and simulated groundwater head by varying aquifer parameters within the allowable range. transient state calibration was carried out during the period march 1988 to december 2002. the calibrated model was validated by comparing the simulated and observed groundwater head from january 2003 to december 2012. groundwater head was predicted for a period until 2030 under eight different scenarios of changes in pumping and rainfall recharge. this prediction indicated that 10% increase of recharge and 10% decrease of pumping causes 3 m and 6 m increase in groundwater head in upper and lower aquifers, respectively, by the end of 2030. groundwater recharge can be increased by rejuvenation of existing surfacewater bodies, check dams and construction of proposed check dams. thus, increase of groundwater recharge and decrease in well field pumping is achievable to restore this heavily exploited coastal aquifer in another 20 years.",1,1,0,1,1,0,0,0,0,1
