Author,Year,Journal,Title,Abstract
Chae et al.,2010,Quarterly Journal of Engineering Geology and Hydrogeology,"time series analysis of three years of groundwater level data (seoul, south korea) to characterize urban groundwater recharge","a time series analysis was performed on 3 years of daily groundwater level data from 34 monitoring wells in the bedrock aquifer of seoul to understand the characteristics of groundwater recharge in an urban setting and thereby provide a policy background for sustainable groundwater management. the cross correlation function was used to estimate the lag time of groundwater level change after a rainfall event. based on the lag time, monitored wells are classified into two groups. the delay was very short (1 7 days) in group i wells (n = 12), whereas group ii wells (n = 22) showed a longer delay (17 58 days). such variable response was considered to reflect differences in the transmission of hydraulic pressure induced by recharging rainwater through the unsaturated zone. the estimated delay time showed significant correlation with the elevation, depth to groundwater level, and thickness of soil (or alluvium). the shorter delay group i wells generally had shallower groundwater levels and were preferentially located toward mountainous areas. group i wells also tended to be located in areas with thinner soil (or alluvium) cover. however, ground cover characteristics (e. g. pavement) around wells had no correlation with the delay time. the characteristics of groundwater recharge in this urban setting therefore appear to be controlled by natural conditions such as topography and soil thickness, rather than by landuse. the study suggests that natural conditions should be more carefully considered in the designation of groundwater preservation areas."
Charalambous et al.,2009,Quarterly Journal of Engineering Geology and Hydrogeology,"recharge abstraction relationships and sustainable yield in the arani kortalaiyar groundwater basin, india","recharge abstraction relationships and sustainable yield in the arani kortalaiyar groundwater basin, india"
Chatterjee et al.,2009,Current Science,estimation of replenishable groundwater resources of india and their status of utilization,"dynamic groundwater resources of india have been estimated using groundwater resource estimation methodology 1997. the methodology uses the water level fluctuation technique and empirical norms for recharge estimation. the groundwater utilization is also estimated. the stage of groundwater development is worked out and assessment units are categorized based on the stage of groundwater development and long term water level trend. the annual replenishable groundwater resources of india is 433 billion cubic metre (bcm) and net annual groundwater availability is 399 bcm. the annual groundwater draft for 2004 was 231 bcm. thus the overall stage of groundwater development is 58%. out of 5723 assessment units in the country, 4078 are 'safe' and 839 are 'over exploited'. the rest fall under 'semi critical' and 'critical' category. overexploitation is more prevalent in northwestern, western and peninsular india. eastern india has good potential for future groundwater development. considering the changing groundwater scenario, re assessment of groundwater resources needs to be carried out at regular intervals. this would require further strengthening of the available database."
Chen et al.,2003,Hydrogeology Journal,"land subsidence caused by groundwater exploitation in suzhou city, china","suzhou city, located at the lower reaches of the yangtze river in southeastern jiangsu province, is one of the few cities in china which suffer from severe ground settlement. a research project was carried out to investigate this problem. geological and hydrogeological studies show that there is a multi layered aquifer system with three distinct, soft mud layers of marine and lagoonal origins. an examination of historical records of groundwater extraction, water levels, and ground settlement shows that the ground subsidence is associated with the continuously increasing groundwater extraction in the deep, confined aquifer. it is believed that the consolidation of the soft mud layers, especially the third layer which is thick and close to the main pumped aquifer, contributes to the ground settlement. a three dimensional finite difference numerical model representing the multi layered aquifer system was developed to study the ground settlement in response to groundwater extraction. by calibrating the model with both the measured groundwater level and ground settlement, the aquifer parameters were estimated. the model outputs fit reasonably well with the observed results, which indicates that the numerical model can reproduce the dynamic processes of both groundwater flow and soil consolidation. the hydraulic conductivity of the third mud layer near the center of the ground settlement has been reduced by over 30% in the last 14 years. the gradual deterioration in the hydraulic conductivity of the mud may have significant adverse effect on the sustainable groundwater resource of the deep confined aquifer, since the recharge from the shallow aquifers through the mud layer is the only source of water to the deep aquifer. an analysis of the spatial distributions of groundwater drawdown and ground settlement shows that the area with maximum drawdown is not necessarily the area with maximum ground settlement due to the occurrence of the soft mud layer. a simple reallocation in pumping rates on the basis of the spatial distribution of the thick mud layer could significantly reduce the ground settlement."
Chen et al.,2010,Resources Conservation and Recycling,optimal safe groundwater yield for land conservation in a seashore area under uncertainty,optimal safe groundwater yield for land conservation in a seashore area under uncertainty
Chen et al.,2005,Water Resources Management,"a waterbudget model for the yun lin plain, taiwan","a waterbudget model is proposed to estimate the infiltration, runoff, evapotranspiration and recharge in vadose zone and apply to a case study. the instantaneous redistribution of infiltrated water is assumed to be uniform and a linear relationship between evapotranspiration and effective saturation is imposed. infiltration is described by philip's solution in conjunction with the time compression approximation method during rainfall. runoff occurred when rainfall rate exceeds soil infiltrating rate. the soil profile drainage was determined by evapotranspiration and recharge. cumulative infiltration, runoff, evapotranspiration and recharge are estimated with different climate conditions and different soil hydraulic properties during simulating period. analysis shows that initial effective saturation affects the estimated results in this waterbudget model in the short or mid term simulations while not in long term simulations. the climatic conditions of yun lin plain area, taiwan from 1991 to 1997 are used by referring to hydrological and hydrogeological parameters to provide the computational procedures of this study for estimating recharge. results showed that the amount of annual recharge was affected by the amount of annual rainfall and soil properties."
Chen et al.,2009,Journal of Hydrology,impact of decadal and century scale oscillations on hydroclimate trend analyses,"studies of hydro meteorological time series have identified decadal and inter decadal oscillations with quasi cyclic components as part of long term natural variations in the data. concerns over impacts of global warming and climate change have led to many studies of sustainable development and adaptation strategies, involving historic trend estimations in order to forecast future trends. this paper demonstrates the impacts of natural oscillations of quasi cyclic components on the mann kendal and thiel sen tests, the most common methods used for analyzing data trends. tests on synthetic and real instrumental hydroclimate records suggest that the mann kendall and thiel sen tests are sensitive to oscillations of quasi cyclic components. data record length relative to the periodicity of cycles, magnitude, and phase of the longest quasi cyclic component are the three most important factors affecting these tests. if the length of the record is greater than three cycle lengths, the impact on the m k and t s tests should be minimal. given the predominance of 45 60 year climate cycles observed in instrumental records, trend analyses of time series records <60 years should be done with caution. these results provide insight for appropriate temporal trend analyses of hydroclimate and associate time series. crown copyright (c) 2008 published by elsevier b.v. all rights reserved."
Cheng et al.,2009,Irrigation and Drainage,"an optimal water allocation for an irrigation district in pingtung county, taiwan","this paper presents a linear programming model to study the conjunctive use of surfacewater and groundwater for optimal water allocation in taiwan. increasing demand for water emphasizes the proper need for effective planning and development of irrigated resources. a groundwater simulation model was performed to construct the hydrogeological structure of the regional pingtung plain in the southwest part of taiwan and the optimal withdrawal of three irrigation areas in pingtung plain was analysed. the optimal ratios for allocating water of three canals are analysed in this research. the optimal distribution rate of each canal depends on the season, irrigation methods and crops, which are two paddy rice and one upland crop. after simulation of various scenarios, optimal simulation results show that the minimal amount of required groundwater and the maximum amount of excess water amounts in the area can be satisfied by current agricultural practices. copyright (c) 2008 john wiley & sons, ltd."
Chung et al.,2010,Hydrogeology Journal,"assessing distributed groundwater recharge rate using integrated surfacewater groundwater modelling: application to mihocheon watershed, south korea","a method of estimating groundwater recharge, based on waterbalance components using the swat modflow model (an integrated surfacewater groundwater model), is described. a multi reservoir storage routing module is suggested instead of a single storage routing module in swat; this represents a more realistic delay in the travel of water through the vadose zone. by using this module, the parameter related to the delay time can be optimized by checking the correlation between simulated recharge and observed groundwater levels. the final step of this procedure is to compare simulated groundwater levels as well as the simulated watershed stream flow with the observed groundwater levels and watershed stream flow. this method is applied to the mihocheon watershed in south korea to estimate spatio temporal groundwater recharge distribution. the computed annual recharge rate is compared with the independently estimated recharge rate using bflow. the hydrologic modelling results show that the annual average recharge rate should be estimated by a long term continuous simulation with a distributed hydrologic modelling technique."
Cloutier et al.,2010,Environmental Earth Sciences,desalination of a sedimentary rock aquifer system invaded by pleistocene champlain sea water and processes controlling groundwater geochemistry,"the objective of this study was to identify geochemical processes and quaternary geological events responsible for the variations in groundwater geochemistry observed in a sedimentary rock aquifer system, including brackish to saline groundwater. inorganic constituents and environmental isotopes were analyzed for 146 groundwater samples. dissolution of carbonates dominates in recharge areas, resulting in ca , mg hco(3) groundwater. further along flow paths, under confined conditions, ca(2+) na(+) ion exchange causes groundwater evolution to na hco(3) type. na cl groundwater is also found and it falls on a seawater mixing line. using conservative tracers, cl( ) and br( ), the original champlain sea water is shown to have been, in the region, a mixture of about 34% seawater and 66% freshwater, a composition still retained by some groundwater. na cl groundwater thus results from mixing with former champlain sea water and also from solute diffusion from overlying marine clay. the system is thus found to be at different stages of desalinization, from the original champlain sea water still present in hydraulically stagnant areas of the aquifer to fully flushed conditions in parts, where more flow occurs, especially in recharge zones. the geochemical processes are integrated within the hydrogeological context to produce a conceptual geochemical evolution model for groundwater of the aquifer system."
Cloutier et al.,2008,Journal of Hydrology,multivariate statistical analysis of geochemical data as indicative of the hydrogeochemical evolution of groundwater in a sedimentary rock aquifer system,"the study of groundwater hydrogeochemistry of the paleozoic basses laurentides sedimentary rock aquifer system in quebec produced a large geochemical dataset. groundwater samples were collected at 153 sites over a 1500 km(2) study area and analyzed for major and minor ions. the large number of data can lead to difficulties in the integration, interpretation and representation of the results. two multivariate statistical methods, hierarchical cluster analysis (hca) and principal components analysis (pca), were applied to a subgroup of the dataset to evaluate their usefulness to classify the groundwater samples, and to identify geochemical processes controlling groundwater geochemistry. this subgroup consisted of 144 samples and 14 parameters (ca2+, mg2+, na+, k+, hco3 , cl , so42 , fe2+, mn2+, br , sr2+, f , ba2+, hs  ). seven geochemically distinct clusters , c1 c7, resulted from the hca. samples from clusters c3, c4, c6 and c7 are mostly located in preferential recharge areas. the majority of these samples have ca mg hco3 recharge groundwater (c3, c6, c7) and na hco3 evolved groundwater (c4). samples from the other three clusters (c1, c2, c5) are characteristic of an aquifer system under confined conditions. the majority of these samples have na hco3 evolved groundwater (c1, c5) and na cl ancient groundwater that exhibits elevated concentrations in br (c2). in addition to recognizing the importance of hydrogeological conditions on groundwater geochemistry, the distribution of clusters also showed the importance of the geological formations on minor and trace elements, such as fe2+, mn2+, sr2+, f  and ba2+. the first five components of the pca account for 78.3% of the total variance in the dataset. component 1 is defined by highly positive loadings in na+, cl  and br  and is related to groundwater mixing with champlain sea water and solute diffusion from the marine clay aquitard. the high positive loadings in ca2+ and mg2+ of component 2 suggest the importance of dissolution of carbonate rocks in this aquifer system. from their characteristic loadings, the first two components are defined as the ""salinity"" and ""hardness"" components, respectively. components 3 5 are related to more local and geological effects. the integration of the hca and the pca, with conventional classification of groundwater types, as well. as with the hydrogeological and geological contexts, allowed the division of the region into four main geochemical areas, providing an improved regional picture of the aquifer system dynamics and hydrogeochemical evolution of groundwater. the following factors were recognized as influencing the evolution of groundwater identified in every geochemical area: (1) geological characteristics including sedimentary rock type and till mineralogy; (2) hydrogeological characteristics represented by the level of confinement and the hydraulic gradient; and (3) the geological history including the latest glaciation and the champlain sea invasion. with its integrated approach, this hydrogeochemical study contributes to the characterization and understanding of complex groundwater flow systems, and provides an example of the long term geochemical evolution of hydrogeological systems after a major perturbation in this case seawater invasion. (c) 2008 elsevier b.v. all rights reserved."
Collin et al.,2003,Journal of Cleaner Production,assessing groundwater vulnerability to pollution to promote sustainable urban and rural development,"groundwater resource management should be integrated with regional landuse planning. the objectives of such planning should respond to regional and long term design needs, which can maximize human life quality, achieve a balance between ecological and engineering approaches to landuse alteration, and lead to sustainable groundwater resources. regional plans should be designed in harmony with natural amenities, restrictions of the environment, and water needs so as to provide adequate rural amenities to urban areas and adequate urban amenities to rural areas. maximum efficiency of these remediation measures can be attained in urban areas only if hydrological barriers which aim to preserve fresh water resources from pollution are simultaneously emplaced with greenbelts which not only aim to promote ground vegetation and soil stability, but also reduce the input of potential pollutants. similarly, in rural areas abstraction of fresh groundwater should also be paired with aquifer recharge. from this study it can be stated that only integrated hydrological, environmental, and landuse measures could offset the present malaise of inharmonious landuse, water resources, and socio economic planning with balanced design needs, in order to achieve integrated urban/rural landuse for sustainable groundwater resources planning. (c) 2003 elsevier science ltd. all rights reserved."
Counce et al.,2009,Agronomy Journal,a model to predict safe stages of development for rice field draining and field tests of the model predictions in the arkansas grand prairie,"due to the cost of extracting water, effective and efficient utilization of irrigation water for rice (oryza sativa l.) is critical to rice farm profitability. the objective of this study is to predict safe stages of development for draining rice. this objective has the potential of saving rice farmers water. a computer program has been developed to predict the stage of development for draining water from rice field soils at which the risk of reduced grain yield or milling quality from insufficient water is considered to be near zero. the parameters of the model are predictions of (i) temperature during rice reproductive growth stages (rrgs) starting at r3, (ii) timing of various rrgs, (iii) maximum amount of water used by the rice crop at each growth stage, and (iv) the water held in the soil profile after draining which is available to the rice crop. the central goals of the model are to allow draining at an rrgs in which (a) the danger of reducing yield and quality from water deficits is at a minimum and (b) water is conserved and land conditions for harvest are improved. experiments to test the predictions were conducted in 2005 and 2006 at two arkansas locations: gillett and stuttgart. an experiment was also conducted at dewitt, ar, in 2006. draining at stages of development predicted by the model did not affect yield milling quality relative to the control for any year or location. predicted water savings from reduced irrigation ranged between $10.26 to $55.44 ha( 1) depending on pump depth. implementation of the program can save money, reduce tillage costs, and reduce unnecessary depletion of the aquifers."
Croteau et al.,2010,Canadian Water Resources Journal,groundwater recharge assessment in the chateauguay river watershed,"the objective of this study was to evaluate groundwater recharge in the chateauguay river watershed. the hydrologic evaluation of landfill performance (help) model was used to assess daily values of recharge, evapotranspiration and runoff. the study area was divided into a regular grid, 250 m x 250 m, for a total of 47,616 grid elements.the input parameters included soil physical properties, landuse, vegetation and climate data. calibration of help was carried out against runoff and baseflow estimates obtained from separation of five river hydrographs. over a 39 year period, the mean annual recharge rate was estimated at 86 mm, or 9% of the total precipitation. areas characterized by high water level elevations and unconfined flow conditions were identified as the main recharge areas. daily estimates show that recharge takes place mainly in spring and fall. over the observed period, the annual variations of evapotranspiration and runoff were directly related to changes in precipitation, whereas the annual recharge response was subdued, with much lower variations. help was also used to assess potential climate change scenarios using data for the driest and most humid years. the mean annual recharge was 51 mm for the driest year and 99 mm for the most humid year. differences in the spatial distribution of recharge for the predictive scenarios indicate that the areas most sensitive to climate change correspond to the preferential recharge areas."
Currell et al.,2010,Journal of Hydrology,"recharge history and controls on groundwater quality in the yuncheng basin, north china","environmental isotopes and water quality indicators (e.g. tds and no(3) contents) were used to characterize the age, recharge history and controls on the quality of groundwater resources in the yuncheng basin, north china, where extensive extraction occurs for agriculture and domestic supply. delta(18)o and delta(2)h values as low as  10.6%. and  73 parts per thousand, respectively, together with low radiocarbon activities (<20 pmc) show that deep groundwater comprises palaeowaters largely recharged in the late pleistocene (similar to 10 to 22 ka b.p.) under a cooler climate than the present. shallow groundwater has higher radiocarbon activities (>70 pmc), indicating a significant component of modern (post 1950s) recharge. the shallow groundwater has higher delta(18)o and delta(2)h values (up to  8.1%. and  54 parts per thousand) that are similar to those in modern summer monsoon rainfall, indicating that current recharge is via direct infiltration and/or leakage of ephemeral streams during heavy rain events. historic recharge rates estimated using radiocarbon ages are between 1 and 10 mm/year, corresponding to <2% of local rainfall, which is lower than estimates of modern recharge nearby based on tritium data. the relationship between groundwater delta(18)o values and (14)c ages is similar to that observed in groundwater from other basins in northern china, confirming that much deep groundwater in the region is palaeowater, and suggesting that a broad scale assessment of groundwater residence times may be made from delta(18)o and delta(2)h values. most deep groundwater has low tds and nitrate concentrations (median 1090 mg/l and 1.8 mg/l, respectively), while shallow groundwater has tds contents of up to 8450 mg/l (median 2010 mg/l) and no(3) concentrations up to 630 mg/l (median 31 mg/l). a lack of enrichment in delta(18)o values in the high salinity shallow groundwater indicates that transpiration by crops and possibly minor mineral dissolution are the major salinisation processes, rather than evaporation or leakage from salt lakes. the majority of nitrate in groundwater has delta(15)n (no3) values between 0.8 parts per thousand and 5.0 parts per thousand and delta(18)o(no3) values between 1.8 parts per thousand and 4.1 parts per thousand, indicating that synthetic fertilizers are the main source of elevated no(3) concentrations. increasing residence times from east to west in deep groundwaters reflect the historic regional flow pattern in the basin. however, present day flow is now dictated by a large cone of depression that has formed due to intensive deep groundwater pumping since the 1980s. high downward vertical hydraulic gradients (up to 0.45) have also developed as a result of this pumping, promoting downwards leakage of shallow water, indicated by high nitrate concentrations (>20 mg/l) in some deep wells (>180 m). preferential leakage has occurred near the linyi fault, in the northern sushui river basin. salinisation, nitrate contamination and excessive drawdown of deep groundwater are major concerns for the future of the groundwater resources in this region. (c) 2010 elsevier b.v. all rights reserved."
Custodio et al.,2002,Hydrogeology Journal,aquifer overexploitation: what does it mean?,"groundwater overexploitation and aquifer overexploitation are terms that are becoming common in water re sources management. hydrologists. managers and journalists use them when talking about stressed aquifers or some groundwater conflict. overexploitation may be defined as the situation in which, for sonic years, average aquifer abstraction rate is, greater than. or close to the average recharge rate. but rate and extent of recharge areas are often very uncertain. besides, they may be modified by human activities and aquifer development. in practice, however, an aquifer is often considered as overexploited when some persistent negative results of aquifer development are felt or perceived. such as a continuous water level drawdown. progressive water quality deterioration, increase of abstraction cost. or ecological damage. but negative results do not necessarily imply that abstraction is greater than recharge. they may be simply due to well interferences and the long transient period that follow changes in the aquifer waterbalance. groundwater storage is depleted to some extent during the transient period after abstraction is increased. its duration depends on aquifer size. specific storage and permeability. which level of ""aquifer overexploitation"" is advisable or bearable. depends oil the detailed and updated consideration of aquifer development effects and the measures implemented for correction. this should not be the result of applying general rules based on sonic indirect data. monitoring. sound aquifer knowledge, and calculation or modelling, of behaviour are needed in the framework of a set of objectives and policies. they should be established by a management institution, with the involvement of groundwater stakeholders, and take into account the environmental and,octal constraints. aquifer overexploitation. which often is perceived to be associated with something ethically bad, is not necessarily detrimental if it is not permanent. it may be a,step towards sustainable development. actually, the term aquifer overexploitation is mostly a qualifier that intends to point to a concern about the evolution of the aquifer flow system in some specific, restricted points of view, but without a precise hydrodynamic meaning. implementing, groundwater management and protection meat sures needs quantitative appraisal of aquifer evolution and effects based on detailed multidisciplinary studies. which have to he supported by reliable data."
D'Haeze et al.,2005,Agricultural Water Management,"groundwater extraction for irrigation of coffea canephora in ea tul watershed, vietnam   a risk evaluation","after the reunion of north and south vietnam in 1975, the area under small holder, irrigated cultivation of coffea canephora increased by a factor of 10 in the central highlands. the actual acreage under coffee in dak lak province is estimated to be over 260,000 ha, representing 60% of the national production, with 405,000 t per year for the world market. vietnam is presently the second largest exporter worldwide and expansion is still going on. in response to farmers' alarming reports of apparent water scarcity in the dry season, this paper assesses the groundwater recharge in the ea tul watershed, a representative area in the central highlands region. the groundwater recharge is estimated by means of a steady state, waterbalance model and validated by means of historical data, stream gauge records at the basin's outlet and groundwater level fluctuations in wells nearby the study area. to account for the variability from one year to another, the input of the waterbalance equation was subjected to a frequency analysis. the estimates indicate that the expected annual groundwater recharge is 743 mm in a wet year, 517 mm in an average and 361 mm in a dry year. validation and literature reviews confirm these figures. subsequently the model is used to evaluate the issue of aquifer depletion and to verify whether a combination of optimal irrigation management and optimal land allocation for robusta coffee could solve the apparent water shortages in the coffee sector. allowing for a minimum river discharge under very dry circumstances (i.e. the q(90) of river base flow), the sustainable yield from the aquifer for variable climatic conditions is calculated. the results confirm that with the present irrigation application depths, the groundwater is likely to be depleted in dry years, but not in wet and average years. reducing the irrigation application depths could keep the groundwaterbalance positive in all years. optimization of land allocation for c canephora may offer an alternative way out. a reduction by 35% of the present coffee area in ea tul along with irrigation efficiency improvement could keep the groundwater resources in balance and guarantees a minimum river discharge, even during severe dry seasons. (c) 2004 elsevier b.v. all rights reserved."
Dadaser-Celik et al.,2007,Water International,hydrologic sustainability of the sultan marshes in turkey,"hydrologic changes in the sultan marshes ecosystem, a closed basin wetland in the semi arid develi basin in south central turkey, are analyzed and related to intensification of irrigated agriculture in the catchment. relationships between water level changes in the marsh, and inflows and outflows of surfacewater and groundwater are examined. since the 1980s, surface runoff from the surrounding mountains into the develi basin has been captured in three major reservoirs and used for flood irrigation. substantial declines in seasonally fluctuating water levels were recorded in the sultan marshes from 1993 to 2003. our analysis shows that these trends are related to decreases in inflows from groundwater and springs, not to climatic changes. simulations with a deterministic hydrologic model for the ortuluakar marsh, a sub system of the sultan marshes, as well as statistical analyses, showed that it is necessary to reduce water use from groundwater and springs to maintain pre 1995 marsh water levels. alternative groundwater management scenarios to sustain both the wetland and irrigated agriculture in the develi basin were tested. a 50% reduction in groundwater and spring water use for irrigation showed promising results for the sultan marshes. irrigation in the basin uses 66% surfacewater and 34 % groundwater. a 50% reduction in groundwater use for irrigation therefore represents less than 20 % of total irrigation water used. reduction in groundwater use is, however, linked to social and economic conditions in the develi basin, and incentives that encourage farmers to adopt sustainable groundwater use practices need to be developed."
Das et al.,2001,Sadhana-Academy Proceedings in Engineering Sciences,application of optimisation techniques in groundwater quantity and quality management,"this paper presents the state of the art on application of optimisation techniques in groundwater quality and quantity management. in order to solve optimisation based groundwater management models, researchers have used various mathematical programming techniques such as linear programming (lp), nonlinear programming (nlp), mixed integer programming (mip), optimal control theory based mathematical programming, differential dynamic programming (ddp), stochastic programming (sp), combinatorial optimisation (co), and multiple objective programming for multipurpose management. studies reported in the literature on the application of these methods are reviewed in this paper."
Das et al.,2001,Sadhana-Academy Proceedings in Engineering Sciences,simulation of seawater intrusion in coastal aquifers: some typical responses,"seawater intrusion in coastal aquifers is generally three dimensional (3 d) in nature. in the literature, there is a general lack of reported results on 3 d simulations. this paper presents some typical example simulations of 3 d seawater intrusion process for a specified hypothetical study area. the simulation results presented in this paper are based on the density dependent miscible flow and transport modelling approach for simulation of seawater intrusion in coastal aquifers. a nonlinear optimization based simulation methodology was used in this study. various steady state simulations are performed for a specified study area. response evaluations consider the effects of vertical recharge on seawater intrusion, effects of boundarycondition, and effects of spatially varying pumping from the aquifer. the 3 d simulations demonstrate the viability of using a planned strategy of spatially varying withdrawals from the aquifer to manage seawater intrusion. it is demonstrated that series of pumps near the ocean face boundary induce a hydraulic head distribution that can be effectively used for controlling seawater intrusion."
Datta et al.,2009,Journal of Hydro-Environment Research,"modeling and control of saltwater intrusion in a coastal aquifer of andhra pradesh, india","the saltwater intrusion in a coastal aquifer is a highly complex and nonlinear process. the management of coastal aquifers requires careful planning of withdrawal strategies for control and remediation of saltwater intrusion. prediction and control of future saltwater distribution in coastal aquifer may be possible by simulating the processes utilizing mathematical models. a finite element based flow and transport simulation model is implemented for a coastal aquifer in nellore district of andhra pradesh, india. the model is calibrated for two years of time period between july 2000 and july 2002, both in terms of hydraulic heads and salt concentration. the calibrated model is validated for next two years in terms of head and salt concentration with the available data for july 2002 and july 2004. the limited data availability in this study area may represent a typical real life situation. the calibrated and partially validated simulation model is used to evaluate the effectiveness of planned pumping strategies to locally control the saltwater intrusion in the study area. these limited evaluations show the potential for using a planned pumping strategy and therefore hydraulic control measures to affect the saltwater intrusion process. these simulations are also useful for evolving planned pumping strategies for control of saltwater intrusion in a coastal aquifer. (c) 2009 published by elsevier b.v. on behalf of international association for hydro environment engineering and research, asia pacific division."
Datta et al.,2005,Current Science,groundwater ethics for its sustainability,"with rapid growth in population, urbanization, industrialization and competition for economic development, groundwater resource has become vulnerable to depletion and degradation. management of this valuable resource is determined by its accessibility and utilisability in terms of quantity and quality. due to imbalance between demand and availability, management approaches are facing various ethical dilemmas. for an effective, efficient and sustainable groundwater resources development and management, the planners and decision makers have future challenges to assess the inextricable logical linkages between water policies and ethical consideration. in this context, some key issues on groundwater ethics, which are crucial for its protection have been described."
Dawoud et al.,2004,Environmental Monitoring and Assessment,design of national groundwater quality monitoring network in egypt,"in the nile valley and delta the protection of groundwater resources is high priority environmental concern. many groundwater quality problems are already dispersed and may be widespread and frequent in occurrence. examples include problems associated with the extensive application of chemical fertilizers in agricultural specially in the new reclaimed areas, leaks in sewers, septic tanks, the aggregate effects of many different points source pollution in urban areas and natural, geologically related water quality problems. a national groundwater quality monitoring has been designed and implemented based on the stepwise procedure. the national groundwater quality monitoring network is used to quantify the quality changes in long run, either caused by pollution activities or by salt water intrusion and to describe the overall current groundwater quality status on a national scale of the main aquifers. the monitoring tools and methodologies developed in this research can be used to assure protection of public health and determine the sustainability of groundwater in various purposes. this national monitoring network plays important roles for decision makers in developing the groundwater resources management plans in different aquifers systems in egypt."
Dawoud et al.,2005,Water Resources Management,gis based groundwater management model for western nile delta,"the limited availability of renewable fresh water is a major constraint on future agriculture and urban development in egypt. the main water resource that egypt has been depending on is the river nile. nowadays, the role of groundwater is steadily increasing and will cover 20% of the total water supply in the coming decades especially in the reclaimed areas along the desert fringes of the nile delta and valley. abstraction from groundwater in egypt is dynamic in nature as it grows rapidly with the expansion of irrigation activities, industrialization, and urbanization. one of these areas is the western nile delta in which the groundwater is exploited in many localities. to avoid the deterioration of the aquifer system in this area, an efficient integrated and sustainable management plan for groundwater resources is needed. efficient integrated and sustainable management of water resources relies on a comprehensive database that represents the characteristics of the aquifer system and modeling tools to achieve the impacts of decision alternatives. in this paper, a gis based model has been developed for the aquifer system of the western nile delta. the gis provides the utilization of analytical tools and visualization capabilities for pre and post processing information involved in groundwater modeling for the study area. the developed model was calibrated for steady state and transient conditions against the historical groundwater heads observed during the last 20 yr. the calibrated model was used to evaluate groundwater potentiality and to test two alternative management scenarios for conserving the aquifer system in western nile delta. in the first scenario, reducing the surfacewater inflow while increasing the annual abstraction from groundwater by about 450 million m(3) and improving the irrigation system could increase the net aquifer recharge by about 5.7% and reduce the aquifer potentiality by about 91%. constructing a new canal as a second management scenario could increase the annual aquifer potentiality by about 23%. the gis based model has been proven to be an efficient tool for formulating integrated and sustainable management plan."
Demlie et al.,2007,Journal of Hydrology,comprehensive hydrological and hydrogeological study of topographically closed lakes in highland ethiopia: the case of hayq and ardibo,"a comprehensive conventional hydrological and hydrogeological study was conducted in two topographically closed crater takes in the northeastern highlands of ethiopia. particular emphasis is given to the estimation of the waterbalance and assessment of groundwater and surfacewater interactions. the detailed bathymetric map of the takes has also been established for the first time. the result revealed the importance of both groundwater and surfacewater components in the waterbalance of the takes. field hydrogeological observations and the conventional waterbalance indicate outflow and inflow of groundwater from both lakes. the takes leak groundwater through large faults, which also control the occurrence and distribution of springs. the leakage of the takes through faults is independently validated by hydrochemical analysis; indicating lower ionic concentration and freshness of both takes in contrast with closed terminal takes, which are commonly characterized by higher salinity. limited environmental isotopes together with major ion analysis revealed that shallow fresh groundwater recharged from highland rainfall is one of the main driving forces of the hydrology of the takes and their catchments. there is no indication of deep groundwater with high ionic concentration and residence time that feeds the takes. from erratic take level record and bathymetric survey, it was found that take hayq has declined in level over the last 60 years. but, recently due to human influences (return flow from irrigation), the level has shown slight rise at the expense of the leaking take ardibo located at relatively higher topographic position. these recent anthropogenic influences demand careful assessment of the complex nature of the hydrology and the waterbalance. in this regard, this study is believed to have laid the foundation for future detailed work that may help for sustainable water management practise. (c) 2007 elsevier b.v. all rights reserved."
Devlin et al.,2005,Hydrogeology Journal,the persistence of the waterbudget myth and its relationship to sustainability,"sustainability and sustainable pumping are two different concepts that are often used interchangeably. the latter term refers to a pumping rate that can be maintained indefinitely without mining an aquifer, whereas the former term is broader and concerns such issues as ecology and water quality, among others, in addition to sustainable pumping. another important difference between the two concepts is that recharge can be very important to consider when assessing sustainability, but is not necessary to estimate sustainable pumping rates. confusion over this distinction is made worse by the waterbudget myth, which comprises the mistaken yet persistent ideas that (1) sustainable pumping rates cannot exceed virgin recharge rates in aquifers, and (2) that virgin recharge rates must therefore be known to estimate sustainable pumping rates. analysis of the waterbalance equation shows the special circumstances that must apply for the waterbudget myth to be true. however, due to the effects recharge is likely to have on water quality, ecology, socioeconomic factors, and, under certain circumstances, its requirement for numerical modeling, it remains important in assessments of sustainability."
Devlin et al.,2006,Hydrogeology Journal,"reply to comment on ""the persistence of the waterbudget myth and its relationship to sustainability"" by j.f. devlin and m. sophocleous, hydrogeology journal (2005), 13 : 549 554","reply to comment on ""the persistence of the waterbudget myth and its relationship to sustainability"" by j.f. devlin and m. sophocleous, hydrogeology journal (2005), 13 : 549 554"
Devlin et al.,2006,Hydrogeology Journal,"the persistence of the waterbudget myth and its relationship to sustainability (vol 13, pg 549, 2005)","the persistence of the waterbudget myth and its relationship to sustainability (vol 13, pg 549, 2005)"
